Well Name,Stage #,Stage Time hrs,Total Stage Proppant,Total Stage Volume bbl,Avg Stage Pressure,Avg Stage Rate,Max Stage Pressure,Max Stage Rate bpm,Avg HHP
SHE.Nq.SB-1035(h),14,12.5,430900,7644.952381,11050,70.7,11415,71.2,19143.2247
YPF Lach-203,22,2.1,530900,8596.714286,9526,82,10726,92,19140.70081
YPF RDMN-80,24,2.816666667,534200,12801.95238,9520,82,10703,90,19128.64494
SHE.Nq.SB-1043(h),4,2.8,531300,9336.404762,10990,71,11750,74,19120.06861
YPF Lach-204,17,1.966666667,626500,9020.690476,8967,87,10645,92,19116.1235
YPF RDMN-83,5,2.716666667,422109,12435.02381,9808,79.5,11110,84,19106.49351
TECPETROL FP-1284,11,2.85,523100,10796.71429,10975,71,11328,75,19093.97207
"YPF RDMN-217(H),RINCON DEL MANG",16,2.516666667,476200,9629.095238,10666,73,11330,80,19079.09826
"TECPETROL FP-1285,FORTIN DE PIEDR",4,2.433333333,506900,9526.333333,10964,71,11308,74,19074.8346
SHE.Nq.SB-1042(h),5,2.6,5370,8849.47619,10811,72,11310,75,19073.5604
"YPF RDMN-214(H),RINCON DEL MANG",15,2.333333333,470800,9601.833333,10378,75,11292,80,19072.53124
"TECPETROL FP-1283,FORTIN DE PIEDR",7,2.616666667,503600,9938.333333,11113,70,11368,74,19061.74957
YPF.Nq.BdT.x-13(h),35,2.066666667,516100,8486.642857,10234,76,10960,84,19058.66209
SHE.Nq.SB-1042(h),11,2.15,533200,8130.666667,10931,71.13,11510,72,19052.24283
SHE.Nq.SB-1036(h),5,2.866666667,539700,9691.119048,11058,70.3,11633,70.3,19048.69885
YPF RDMN-80,6,3.033333333,540400,13092.66667,9840,79,11160,84,19048.27248
SHE.Nq.SB-1036(h),10,2.416666667,528100,9253.5,10668,72.86,11374,80.11,19046.0789
"YPF LLL-1605H,LOMA CAMPANA",1,2.566666667,532800,10033.61905,10529,73.8,11628,80,19040.43617
SHE.Nq.SB-1041(h),5,2.683333333,539400,8999.880952,10966,70.81,11542,77,19027.2595
"TECPETROL FP-1287,FORTIN DE PIEDR",23,2.883333333,5277,9476.952381,10783,72,11203,75,19024.16074
"YPF RDMN-214(H),RINCON DEL MANG",13,2.333333333,478000,9665.880952,10351,75,11146,79,19022.91105
YPF.Nq.LCav-69(h),7,18.26666667,539400,0,9824,79,11012,80,19017.29968
"YPF RDMN-217(H),RINCON DEL MANG",6,2.466666667,453500,9915.928571,10630,73,10942,77,19014.70228
"TECPETROL FP-1287,FORTIN DE PIEDR",34,3.216666667,507500,12993.07143,10581,73.32,11300,79,19010.02009
YPF SOIL-361,12,2.233333333,393000,8018.285714,10922,71,11610,73,19001.76427
XOM.Nq.BdC-46(h),6,1.683333333,832800,15135.69048,10339,75,11250,100,19000.85763
YPF SOIL-361,35,2.316666667,517600,8875.714286,10768,72,11150,78,18997.69664
SHE.Nq.SB-1036(h),12,2.283333333,545900,8155.214286,10769,71.98,11015,72.3,18994.18329
YPF SOIL-360,29,2.3,533900,8856.285714,10602,73.1,11225,77.2,18990.59544
YPF SOIL-362,1,2.633333333,534600,10272.92857,10757,72,11084,73,18978.28963
"TECPETROL FP-1286,FORTIN DE PIEDR",24,2.6,295480,10008.09524,10609,73,11225,75,18977.13796
"TECPETROL FP-1286,FORTIN DE PIEDR",22,8.15,4571,9650,10756,72,12220,77,18976.52536
SHE.Nq.SB-1042(h),3,2.716666667,528500,9351.452381,10926,70.81,11240,73,18957.85494
YPF SOIL-360,6,2.4,538800,9262.690476,10864,71.2,11204,72.7,18954.09949
YPF SOIL-360,13,2.25,508100,8867.547619,10743,72,10871,73,18953.58981
