SETresp,IdCiclo,SAP,IdCL,TipoBaja,Categoria,Componente,Motivo,FechaHora,PAD,Destino,ConCL
"2",,"11754409",,"REAC","Falla mayor (Equipo no operativo)","Transmision","Caja angular dañada","5/16/2022 9:01 PM","SB-52","Base Añelo","No"
"3",,"11970682",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","Prensa 1 y 2 trabados","5/17/2022 6:28 AM","LCav-26","Base Añelo","No"
"3",,"12531951",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","a base rompe asiento y valvula.","5/17/2022 11:56 AM","LCav-26","Base Añelo","No"
"2",,"11970658",,"REAC","Falla mayor (Equipo no operativo)","Transmision","Rotura de transmision. No encastra","5/18/2022 3:49 AM","SB-52","Base Añelo","No"
"3",,"11970682",,"MOV","Mov a otra locacion sin falla","N/A","BAJA DE POZO ","5/18/2022 4:15 PM","LCav-26","Se dirige a otro pozo","No"
"2",,"11597004",,"REAC","Falla mayor (Equipo no operativo)","Caja angular","Rotura de caja angular y pto superior","5/18/2022 10:06 PM","SB-52","Base Añelo","No"
"3",,"12506558",,"REAC","Falla mayor (Equipo no operativo)","Transmision","Falla en transmision","5/18/2022 10:59 PM","LCav-26","Base Añelo","No"
"2",,"13057729",,"PREV","Inspeccion","Motor","pedida por iem para revision de turbocompresor, perdida de refrigerante","5/19/2022 4:37 PM","SB-52","Base Añelo","No"
"2",,"11580946",,"REAC","Falla mayor (Equipo no operativo)","Transmision","falla en la transmision.","5/19/2022 7:51 PM","SB-52","Base Añelo","No"
"2",,"13057723",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","barrio prensa","5/20/2022 6:30 PM","SB-52","Base Añelo","No"
"3",,"11528725",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","Por falta de repuestos ","5/20/2022 7:53 PM","LCav-26","Base Añelo","No"
"2",,"11970698",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","Esparrago de fluid end cortado.","5/20/2022 9:05 PM","SB-52","Base Añelo","No"
"3",,"11970698",,"MOV","Mov a otra locacion sin falla","N/A","Traslado a otra locacion","5/21/2022 4:01 AM","LCav-26","Se dirige a otro pozo","No"
"3",,"12506564",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","Esparrago cortado","5/21/2022 4:52 AM","LCav-26","Base Añelo","No"
