SETresp,IdCiclo,SAP,IdCL,TipoBaja,Categoria,Componente,Motivo,FechaHora,PAD,Destino,ConCL
"3",,"11528730",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","Fluid end Se soplo por perdida en tapa frontal piston 5","1/30/2022 8:42 AM","RDMN-28","Base Añelo","No"
"2",,"12506564",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","Fisura en piston 3","1/30/2022 9:04 AM","FdP-1281","Base Añelo","No"
"2",,"12546250",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","Fisura en piston 4","1/30/2022 5:42 PM","FdP-1281","Base Añelo","No"
"3",,"11451139",,"REAC","Falla mayor (Equipo no operativo)","Motor","Problemas en inyectores","1/31/2022 3:45 AM","RDMN-28","Base Añelo","No"
"3",,"11754409",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","fisura en cuerpo tapa frontal numero 1 ","2/1/2022 2:29 AM","RDMN-28","Base Añelo","No"
"3",,"11410827",,"REAC","Falla mayor (Equipo no operativo)","Motor","motor agarrad","2/1/2022 3:17 AM","RDMN-28","Base Añelo","No"
"3",,"12531951",,"REAC","Falla mayor (Equipo no operativo)","Motor","se pasa aceite al agua","2/2/2022 7:51 AM","RDMN-28","Base Añelo","No"
"2",,"11691523",,"REAC","Falla mayor (Equipo no operativo)","Caja angular","juego en la caja angular. Esparrago de fluis end cortado.","2/2/2022 9:59 PM","FdP-1281","Base Añelo","No"
"3",,"13038526",,"REAC","Falla mayor (Equipo no operativo)","N/A","Fisura en fluid end","2/5/2022 7:42 PM","RDMN-28","Base Añelo","No"
"2",,"10000000",,"MOV","DTM sin falla","N/A","TestSoftware","2/8/2022 3:38 PM","FdP-1285","Base Añelo","No"
"2",,"11452211",,"REAC","Falla mayor (Equipo no operativo)","Motor","no arranca","2/10/2022 11:25 AM","FdP-1285","Base Añelo","No"
"2",,"11970888",,"REAC","Falla mayor (Equipo no operativo)","Motor","se prende fuego turbo","2/10/2022 11:37 AM","FdP-1285","Base Añelo","No"
"3",,"12999800",,"MOV","DTM sin falla","N/A","DTM","2/6/2022 10:00 PM","RDMN-28","Base Añelo","No"
"3",,"12157794",,"MOV","DTM sin falla","N/A","DTM","2/6/2022 10:00 PM","RDMN-28","Base Añelo","No"
"3",,"12506558",,"MOV","DTM sin falla","N/A","DTM","2/6/2022 10:00 PM","RDMN-28","Base Añelo","No"
"3",,"11326934",,"MOV","DTM sin falla","N/A","DTM","2/6/2022 10:00 PM","RDMN-28","Base Añelo","No"
"3",,"11516556",,"MOV","DTM sin falla","N/A","DTM","2/6/2022 10:00 PM","RDMN-28","Base Añelo","No"
"3",,"11528730",,"MOV","DTM sin falla","N/A","DTM","2/6/2022 10:00 PM","RDMN-28","Base Añelo","No"
"3",,"12468286",,"MOV","DTM sin falla","N/A","DTM","2/6/2022 10:00 PM","RDMN-28","Base Añelo","No"
"3",,"13038526",,"MOV","DTM sin falla","N/A","DTM","2/6/2022 10:00 PM","RDMN-28","Base Añelo","No"
"3",,"13038520",,"MOV","DTM sin falla","N/A","DTM","2/6/2022 10:00 PM","RDMN-28","Base Añelo","No"
"3",,"12545652",,"MOV","DTM sin falla","N/A","DTM","2/6/2022 10:00 PM","RDMN-28","Base Añelo","No"
"3",,"12546259",,"MOV","DTM sin falla","N/A","DTM","2/6/2022 10:00 PM","RDMN-28","Base Añelo","No"
"3",,"11501065",,"MOV","DTM sin falla","N/A","DTM","2/6/2022 10:00 PM","RDMN-28","Base Añelo","No"
"3",,"12108472",,"MOV","DTM sin falla","N/A","DTM","2/6/2022 10:00 PM","RDMN-28","Base Añelo","No"
"3",,"12622242",,"MOV","DTM sin falla","N/A","DTM","2/6/2022 10:00 PM","RDMN-28","Base Añelo","No"
"3",,"11691538",,"MOV","DTM sin falla","N/A","DTM","2/6/2022 11:08 PM","RDMN-28","Base Añelo","No"
"3",,"11647244",,"MOV","DTM sin falla","N/A","DTM","2/6/2022 11:09 PM","RDMN-28","Base Añelo","No"
"3",,"12608142",,"MOV","DTM sin falla","N/A","DTM","2/6/2022 11:09 PM","RDMN-28","Base Añelo","No"
"3",,"12643202",,"MOV","DTM sin falla","N/A","DTM","2/6/2022 11:09 PM","RDMN-28","Base Añelo","No"
"3",,"11542695",,"MOV","DTM sin falla","N/A","DTM","2/6/2022 11:09 PM","RDMN-28","Base Añelo","No"
"3",,"11528725",,"MOV","DTM sin falla","N/A","DTM","2/6/2022 11:09 PM","RDMN-28","Base Añelo","No"
"3",,"11501481",,"MOV","DTM sin falla","N/A","DTM","2/6/2022 11:09 PM","RDMN-28","Base Añelo","No"
"3",,"11754304",,"MOV","DTM sin falla","N/A","DTM","2/6/2022 11:09 PM","RDMN-28","Base Añelo","No"
"3",,"11720335",,"MOV","DTM sin falla","N/A","DTM","2/6/2022 11:09 PM","RDMN-28","Base Añelo","No"
"3",,"12999791",,"MOV","DTM sin falla","N/A","DTM","2/6/2022 11:09 PM","RDMN-28","Base Añelo","No"
"2",,"11597094",,"MOV","Prestamo a otra PSL sin falla","N/A","pedida para hps","2/11/2022 10:25 AM","FdP-1285","Se va a otra PSL","No"
"2",,"12546214",,"REAC","Falla mayor (Equipo no operativo)","Motor","SE ENCUENTRA EQUIPO GASEANDO MECANICO DA ORDEN DE BAJAR","2/11/2022 11:33 PM","FdP-1285","Base Añelo","No"
"2",,"11905678",,"REAC","Falla menor (Equipo puede operar)","Radiador Horizontal","LEVANTA TEMPERATURA DE TRANSMISION Y MOTOR","2/11/2022 11:42 PM","FdP-1285","Base Añelo","No"
"2",,"12546214",,"REAC","Falla mayor (Equipo no operativo)","Motor","MOTOR GASEA","2/11/2022 11:45 PM","FdP-1285","Base Añelo","No"
"2",,"12002163",,"PREV","PM / Service","N/A","Pedido por IEM","2/12/2022 9:00 PM","FdP-1285","Base Añelo","No"
"2",,"12129760",,"PREV","PM / Service","N/A","Pedia por IEM","2/12/2022 9:00 PM","FdP-1285","Base Añelo","No"
"1",,"11451139",,"MOV","DTM sin falla","N/A","baja","2/14/2022 2:06 AM","LCav-19","Base Añelo","No"
"2",,"12002183",,"REAC","Falla mayor (Equipo no operativo)","Reductora","REDUCTOR CLAVADO","2/14/2022 4:07 AM","FdP-1285","Base Añelo","No"
"1",,"11597094",,"MOV","Prestamo a otra PSL sin falla","N/A","BAJA POR PDEIDO DE IEM","2/15/2022 2:07 AM","LCav-19","Se va a otra PSL","No"
"1",,"11501080",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","cambiar piston 1 descarga.","2/15/2022 9:46 AM","LCav-19","Base Añelo","No"
"2",,"12643286",,"REAC","Falla mayor (Equipo no operativo)","Sistema hidraulico","cuadro hidraulico roto","2/15/2022 12:46 PM","FdP-1285","Base Añelo","No"
"2",,"12643286",,"REAC","Falla mayor (Equipo no operativo)","Sistema hidraulico","cuadrohidraulico roto","2/15/2022 3:46 PM","FdP-1285","Base Añelo","No"
"2",,"12643286",,"REAC","Falla mayor (Equipo no operativo)","Sistema hidraulico","cuadro hidraulico dañado","2/15/2022 4:10 PM","FdP-1285","Base Añelo","No"
"2",,"12643286",,"REAC","Falla mayor (Equipo no operativo)","Sistema hidraulico","cuadro hidraulico roto","2/15/2022 4:25 PM","FdP-1285","Base Añelo","No"
"2",,"12643286",,"REAC","Falla menor (Equipo puede operar)","N/A","ROTURA DE  CUADRO HIDRAULICO DE  MANOMETROS","2/15/2022 9:00 AM","FdP-1285","Base Añelo","No"
"2",,"13057723",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","ASIENTO DE 7"" ROTO NO TENEMOS EL PISTON HIDRAULICO DE EN CONDICIONES","2/16/2022 6:37 AM","FdP-1285","Base Añelo","No"
"2",,"12643286",,"REAC","Falla mayor (Equipo no operativo)","Sistema hidraulico","SE ROMPE CUADRO HIDRAULICO","2/15/2022 6:39 AM","FdP-1285","Base Añelo","No"
"2",,"12643286",,"REAC","Falla menor (Equipo puede operar)","N/A","Cuadro hidraulico roto","2/16/2022 6:56 PM","FdP-1285","Base Añelo","No"
"2",,"13057723",,"PREV","PM / Service","N/A","Faltan herramientas","2/16/2022 7:29 AM","FdP-1285","Base Añelo","No"
"1",,"11597094",,"MOV","DTM sin falla","N/A",".","2/17/2022 4:51 AM","LCav-19","Base Añelo","No"
"1",,"11597094",,"MOV","DTM sin falla","N/A",".","2/17/2022 6:31 AM","LCav-19","Base Añelo","No"
"2",,"11970698",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","fisura piston 3","2/17/2022 2:23 PM","FdP-1285","Base Añelo","No"
"2",,"11326732",,"MOV","Mov a otra locacion sin falla","N/A","solicitada para otro set","2/17/2022 2:35 PM","FdP-1285","Se dirige a otro pozo","No"
"2",,"13038529",,"REAC","Falla mayor (Equipo no operativo)","Transmision","transmision","2/17/2022 4:34 PM","FdP-1285","Base Añelo","No"
"1",,"13057741",,"MOV","Mov a otra locacion sin falla","N/A","se devuelve al set 2","2/18/2022 2:14 AM","LCav-19","Se dirige a otro pozo","No"
"1",,"13057741",,"MOV","Mov a otra locacion sin falla","N/A","se devuelve al set 2","2/18/2022 2:14 AM","LCav-19","Se dirige a otro pozo","No"
"1",,"12468283",,"REAC","Falla mayor (Equipo no operativo)","Transmision","Rompio transmision, levanta temperatura y hace ruidos en la transmision. Mecanico pide bajarla","2/18/2022 3:56 AM","LCav-19","Base Añelo","No"
"2",,"13057735",,"REAC","Falla menor (Equipo puede operar)","Radiador Horizontal","Radiadors tapados. Levanta temperatura de motor","2/18/2022 1:30 AM","FdP-1285","Base Añelo","No"
"2",,"12153244",,"PRED","Predictivo (SKF)","Transmision","Solicitada desde base. Alertas de vibraciones","2/18/2022 10:02 PM","FdP-1285","Base Añelo","No"
"1",,"13038535",,"MOV","Mov a otra locacion sin falla","N/A","se devielve a otro set","2/19/2022 2:10 AM","LCav-19","Se dirige a otro pozo","No"
"1",,"11720335",,"PRED","Predictivo (SKF)","N/A","alerta de skf","2/19/2022 2:11 AM","LCav-19","Base Añelo","No"
"1",,"11720335",,"PRED","Predictivo (SKF)","N/A","alerta de skf","2/19/2022 2:11 AM","LCav-19","Base Añelo","No"
"1",,"13038538",,"PRED","Predictivo (SKF)","Motor","alerta skf motor","2/19/2022 2:19 AM","LCav-19","Base Añelo","No"
"3",,"12468286",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","prensa Nro 5 agarrado","2/19/2022 5:11 AM","EOr-34","Base Añelo","No"
"3",,"12608142",,"REAC","Falla mayor (Equipo no operativo)","Motor","Temperatura elevada","2/17/2022 3:18 PM","EOr-34","Base Añelo","No"
"2",,"12608136",,"MOV","Mov a otra locacion sin falla","N/A","Enviada a SET 1","2/19/2022 5:28 AM","FdP-1285","Se dirige a otro pozo","No"
"3",,"12129757",,"PREV","PM / Service","N/A","Pedido de IEM","2/17/2022 3:29 PM","EOr-34","Base Añelo","No"
"3",,"11528730",,"REAC","Falla mayor (Equipo no operativo)","Motor","problemas de temperatura en motor y transmision","2/19/2022 9:18 AM","EOr-34","Base Añelo","No"
"2",,"11516541",,"REAC","Falla menor (Equipo puede operar)","Sistema eléctrico o electronico","solicitada para set 1","2/19/2022 1:56 PM","FdP-1285","Se dirige a otro pozo","No"
"2",,"13038535",,"REAC","Falla mayor (Equipo no operativo)","Motor","gasea por motor","2/19/2022 7:07 PM","FdP-1285","Base Añelo","No"
"2",,"12999794",,"REAC","Falla mayor (Equipo no operativo)","N/A","Fisura en fluid end (piston 3), succion pinchada, perdida por power end","2/19/2022 7:17 PM","FdP-1285","Base Añelo","No"
"3",,"12506570",,"REAC","Falla mayor (Equipo no operativo)","Motor","baja presion de aceite en motor","2/18/2022 5:45 AM","EOr-34","Base Añelo","No"
"1",,"12129757",,"PREV","Inspeccion","N/A","j","2/20/2022 4:49 AM","LCav-19","Base Añelo","No"
"1",,"12129760",,"PRED","Predictivo (SKF)","Motor","alerta","2/20/2022 4:57 AM","LCav-19","Base Añelo","No"
"1",,"13038538",,"PRED","Predictivo (SKF)","Motor","skf","2/20/2022 5:09 AM","LCav-19","Base Añelo","No"
"2",,"11528720",,"REAC","Falla mayor (Equipo no operativo)","Motor","Falla de motor. Finning","2/20/2022 5:16 AM","FdP-1285","Base Añelo","No"
"3",,"12589528",,"PREV","PM / Service","Motor","Prioridad 1","2/20/2022 6:50 AM","EOr-34","Base Añelo","No"
"3",,"11451139",,"REAC","Falla mayor (Equipo no operativo)","Transmision","Falla en caja angular","2/20/2022 9:01 AM","EOr-34","Base Añelo","No"
"3",,"12108472",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","Piston Nro 5 agarrado","2/20/2022 9:03 AM","EOr-34","Base Añelo","No"
"2",,"11528735",,"REAC","Falla mayor (Equipo no operativo)","Motor","Pedida por IEM, problema de inyectores","2/20/2022 2:33 PM","FdP-1285","Base Añelo","No"
"2",,"11501481",,"PRED","Predictivo (SKF)","Transmision","solicitada por iem","2/21/2022 9:14 PM","FdP-1285","Base Añelo","No"
"3",,"12157794",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","Posible fisura en alojamiento Nro 3 y rotura de empaque Nro 5","2/19/2022 6:48 PM","EOr-34","Base Añelo","No"
"2",,"11754314",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","Fisura piston 3","2/22/2022 5:40 AM","FdP-1285","Base Añelo","No"
"3",,"13038520",,"PREV","PM / Service","Motor","Prioridad 1","2/22/2022 9:39 AM","EOr-34","Base Añelo","No"
"4",,"10000000",,"MOV","Mov a otra locacion sin falla","N/A","TestSoftware","2/22/2022 6:45 PM","EOr-34","Base Añelo","No"
"2",,"13038529",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","Se sopla tapa frontal piston 4","2/23/2022 12:51 AM","FdP-1285","Base Añelo","No"
"2",,"12999794",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","fluid end pinchado","2/24/2022 7:00 PM","FdP-1285","Base Añelo","No"
"1",,"13038532",,"MOV","Mov a otra locacion sin falla","N/A","Se devuelve bomba al set 2","2/24/2022 6:30 PM","LCav-19","Se dirige a otro pozo","No"
"2",,"13057735",,"REAC","Falla mayor (Equipo no operativo)","Motor","Perdida de aceite por respiradero de motor","2/25/2022 5:05 AM","FdP-1285","Base Añelo","No"
"1",,"11516541",,"REAC","Falla mayor (Equipo no operativo)","Caja angular","baja a base añelo por rotura de cardan corto.","2/25/2022 9:31 AM","LCav-19","Base Añelo","No"
"2",,"13038517",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","ASIENTO NUMERO 3 DESCARGA DAÑADO","2/25/2022 5:12 PM","FdP-1285","Base Añelo","No"
"2",,"13057738",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","Fisura en zona de piston 3","2/25/2022 11:00 PM","FdP-1285","Base Añelo","No"
"2",,"13057741",,"REAC","Falla mayor (Equipo no operativo)","Motor","perdida y potencia del turbo,perdida por reten de lubricador power end,perdida por retende pto superior,perdida por reten de bancado del motor.","2/26/2022 4:42 PM","FdP-1285","Base Añelo","No"
"2",,"13038517",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","Baja a base por falta de herramienta para su reparacion en pozo","2/25/2022 5:09 PM","FdP-1285","Base Añelo","No"
"2",,"12506558",,"REAC","Falla mayor (Equipo no operativo)","Power-End","BULONES DE  SUJECION DE  POWEREND","2/27/2022 10:32 AM","FdP-1285","Base Añelo","No"
"2",,"13057726",,"REAC","Falla menor (Equipo puede operar)","Radiador Horizontal","LEVANTA TEMPERATURA","2/27/2022 10:34 AM","FdP-1285","Base Añelo","No"
"1",,"12622242",,"MOV","Mov a otra locacion sin falla","N/A","se devuelve al SET2, baja sin lotorc ","2/27/2022 4:35 PM","LCav-19","Base Añelo","No"
"1",,"12622242",,"REAC","Falla mayor (Equipo no operativo)","N/A","falla equipo","2/28/2022 3:40 AM","LCav-19","Base Añelo","No"
"2",,"12999794",,"REAC","Falla mayor (Equipo no operativo)","Power-End","RORUTA DE  BOMBA DE ACEITE DE LUBRICACION DE POWEREND. 2 PISTONES AGARRADOS","2/28/2022 12:51 PM","FdP-1285","Base Añelo","No"
"2",,"12999794",,"REAC","Falla mayor (Equipo no operativo)","Power-End","FALLA EN BOMBA DE ACEITE  LUBRICACION DE  POWEREND.  2  PISTONES AGARRADOS","2/28/2022 12:57 PM","FdP-1285","Base Añelo","No"
"2",,"12999794",,"REAC","Falla mayor (Equipo no operativo)","Power-End","FALLA EN BOMBA DE ACEITE  LUBRICACION DE  POWEREND.  2  PISTONES AGARRADOS","2/28/2022 12:57 PM","FdP-1285","Base Añelo","No"
"2",,"12153244",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","BAJA POR PISTON 5 AGARRADO ","2/28/2022 3:35 PM","FdP-1285","Base Añelo","No"
"1",,"12999800",,"MOV","Mov a otra locacion sin falla","N/A","Se envia bombeador a otro Set Operativo, con empaquetadura y PM completo.","2/28/2022 5:09 PM","LCav-19","Se dirige a otro pozo","No"
"2",,"13057732",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","Fisura piston 3","2/28/2022 10:11 PM","FdP-1285","Base Añelo","No"
"2",,"13038517",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","sin herramientas","2/28/2022 11:05 PM","FdP-1285","Base Añelo","No"
"1",,"12999800",,"MOV","Mov a otra locacion sin falla","N/A","bomba pulmon","2/28/2022 6:20 PM","LCav-19","Base Añelo","No"
"2",,"11326934",,"MOV","Prestamo a otra PSL sin falla","N/A","SE DEVUELVE A SET 3","3/1/2022 1:57 PM","FdP-1285","Base Añelo","No"
"2",,"13038538",,"REAC","Falla mayor (Equipo no operativo)","Power-End","pedida por iem, fuga de aceite en power end","3/2/2022 2:54 AM","FdP-1285","Base Añelo","No"
"2",,"11754314",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","fisura piston 2","3/3/2022 8:24 PM","FdP-1285","Base Añelo","No"
"2",,"11580946",,"REAC","Falla mayor (Equipo no operativo)","Motor","Princio de incendio en turbocompresor","3/3/2022 7:00 PM","FdP-1285","Base Añelo","No"
"2",,"12822822",,"PREV","Inspeccion","Radiador Vertical","kljl","3/3/2022 9:12 PM","FdP-1285","Base Añelo","No"
"2",,"11580946",,"REAC","Falla mayor (Equipo no operativo)","Motor","Principio de incendio en turbocompresor","3/3/2022 7:13 PM","FdP-1285","Base Añelo","No"
"2",,"13057726",,"REAC","Falla mayor (Equipo no operativo)","Motor","Se cae el caudal durante los bombeos. Falla sensores de filtros de aire. Baja pedida por iem","3/4/2022 12:24 AM","FdP-1285","Base Añelo","No"
"2",,"13057750",,"REAC","Falla menor (Equipo puede operar)","Motor","Se cae caudal durante los bombeos. falla en sensores de filtros de aire. baja por pedido de iem","3/4/2022 3:00 AM","FdP-1285","Base Añelo","No"
"2",,"13057723",,"REAC","Falla mayor (Equipo no operativo)","Motor","Alerta SKF, radiadores tapados y fisura en power end","3/5/2022 1:35 AM","FdP-1285","Base Añelo","No"
"2",,"11691523",,"REAC","Falla mayor (Equipo no operativo)","Power-End","RUIDO Y TEMPERATURA ALTA EN POWEREND. POSIBLE PISTON AGARRADO","3/5/2022 10:41 AM","FdP-1285","Base Añelo","No"
"2",,"11970698",,"REAC","Falla mayor (Equipo no operativo)","Transmision","Problema de transmisión","3/6/2022 3:40 AM","FdP-1285","Base Añelo","No"
"1",,"13038517",,"REAC","Falla mayor (Equipo no operativo)","Motor","TURBO DAÑADO","3/6/2022 8:50 AM","LCav-19","Base Añelo","No"
"1",,"13038517",,"REAC","Falla mayor (Equipo no operativo)","Motor","TURBO DAÑADO","3/6/2022 8:50 AM","LCav-19","Base Añelo","No"
"1",,"11528735",,"REAC","Falla mayor (Equipo no operativo)","Motor","Equipo bajo rendimiento de motor","3/6/2022 12:36 PM","LCav-19","Base Añelo","No"
"1",,"13038517",,"REAC","Falla mayor (Equipo no operativo)","Motor","Rotura de turno","3/6/2022 12:39 PM","LCav-19","Base Añelo","No"
"2",,"11720335",,"PREV","PM / Service","Transmision","se baja a pedido de IEM ","3/6/2022 5:46 PM","FdP-1285","Base Añelo","No"
"2",,"11317872",,"PREV","PM / Service","N/A","Pedida por Iem, Prioridad 1","3/7/2022 12:56 AM","FdP-1285","Base Añelo","No"
"1",,"11501481",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","Piston 3 agarrado cambiar oring","3/7/2022 2:12 AM","LCav-19","Base Añelo","No"
"1",,"12589516",,"REAC","Falla mayor (Equipo no operativo)","Radiador Vertical","Perdida de refrigerante","3/7/2022 2:50 AM","LCav-19","Base Añelo","No"
"1",,"12589516",,"REAC","Falla mayor (Equipo no operativo)","Radiador Vertical","Pérdida de Refrigerante","3/7/2022 4:42 AM","LCav-19","Base Añelo","No"
"1",,"11501481",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","Piston 3 agarrado","3/7/2022 4:44 AM","LCav-19","Base Añelo","No"
"1",,"11691240",,"MOV","Mov a otra locacion sin falla","N/A","baja por devolucion a set 3","3/8/2022 5:07 PM","LCav-19","Se dirige a otro pozo","No"
"1",,"12999800",,"MOV","Mov a otra locacion sin falla","N/A","Se envía a Loc  SET 3","3/9/2022 12:59 AM","LCav-19","Se dirige a otro pozo","No"
"1",,"11970682",,"MOV","Mov a otra locacion sin falla","N/A","Se envía a LOC  SET 3","3/9/2022 1:10 AM","LCav-19","Se dirige a otro pozo","No"
"1",,"11528735",,"MOV","Mov a otra locacion sin falla","N/A","Se va a otro SET","3/9/2022 6:18 PM","LCav-19","Base Añelo","No"
"1",,"12589516",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","Baja por fisura en p5","3/10/2022 3:20 AM","LCav-19","Base Añelo","No"
"1",,"11528740",,"MOV","Mov a otra locacion sin falla","N/A","Va a SET 2.-","3/11/2022 12:44 AM","LCav-19","Se dirige a otro pozo","No"
"1",,"11528740",,"MOV","Mov a otra locacion sin falla","N/A","Se envía a SET 2","3/11/2022 3:33 AM","LCav-19","Se dirige a otro pozo","No"
"1",,"11528740",,"MOV","Mov a otra locacion sin falla","N/A","Se envía a SET 2","3/11/2022 3:33 AM","LCav-19","Se dirige a otro pozo","No"
"3",,"11326934",,"REAC","Falla mayor (Equipo no operativo)","N/A","piston agarrado","3/12/2022 6:31 PM","Loc-278","Base Añelo","No"
"3",,"13038511",,"MOV","Prestamo a otra PSL sin falla","N/A","devolucuion","3/12/2022 6:34 PM","Loc-278","Base Añelo","No"
"3",,"12108472",,"REAC","Falla mayor (Equipo no operativo)","N/A","piston agarrado","3/12/2022 6:37 PM","Loc-278","Base Añelo","No"
"3",,"12108472",,"REAC","Falla mayor (Equipo no operativo)","N/A","piston agarrado","3/12/2022 6:37 PM","Loc-278","Base Añelo","No"
"3",,"11754304",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","3 esparragos cortados de Fluid-End","3/12/2022 7:59 PM","Loc-278","Base Añelo","No"
"3",,"12157794",,"REAC","Falla mayor (Equipo no operativo)","Motor","Perdida de aceite por linea de ventilacion del turbo.","3/12/2022 11:01 AM","Loc-278","Base Añelo","No"
"3",,"12608142",,"REAC","Falla menor (Equipo puede operar)","Power-End","piston agarrado","3/13/2022 5:53 PM","Loc-278","Base Añelo","No"
"3",,"11691240",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","cuerpo fisurado","3/13/2022 6:01 PM","Loc-278","Base Añelo","No"
"3",,"12468286",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","Pierde por camisa pistón 5. Se encamisó y sigue perdiendo.","3/13/2022 10:07 PM","Loc-278","Base Añelo","No"
"3",,"12608142",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","Prensa agarrado pistón 3","3/13/2022 2:18 PM","Loc-278","Base Añelo","No"
"3",,"11691240",,"REAC","Falla mayor (Equipo no operativo)","N/A","Fisura en piston1","3/15/2022 5:46 AM","Loc-278","Base Añelo","No"
"3",,"11691240",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","fisura piston 5","3/13/2022 9:50 AM","Loc-278","Base Añelo","No"
"2",,"11528735",,"REAC","Falla mayor (Equipo no operativo)","Transmision","falla en transmision ","3/15/2022 6:43 PM","SB-61","Base Añelo","No"
"2",,"11528735",,"REAC","Falla mayor (Equipo no operativo)","Transmision","falla en transmision ","3/15/2022 6:43 PM","SB-61","Base Añelo","No"
"3",,"11970888",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","Camisa piston 3, Esparrago cortado.","3/15/2022 10:31 PM","Loc-278","Base Añelo","No"
"2",,"13038511",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","Piston 5 queda con juego rosca dañada no se pudo desarmar en locacion","3/16/2022 4:03 AM","SB-61","Base Añelo","No"
"2",,"13038511",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","piston 5 queda agarrado sobre la T","3/16/2022 10:45 AM","SB-61","Base Añelo","No"
"3",,"11720335",,"REAC","Falla mayor (Equipo no operativo)","Motor","rota bomba de aceite transmision","3/16/2022 6:29 PM","Loc-278","Base Añelo","No"
"3",,"11970682",,"REAC","Falla menor (Equipo puede operar)","Fluid-End","premsa agarrado","3/17/2022 2:45 AM","Loc-278","Base Añelo","No"
"3",,"12506570",,"REAC","Falla mayor (Equipo no operativo)","Transmision","rotura de bomba precarga de transmision","3/17/2022 2:55 AM","Loc-278","Base Añelo","No"
"3",,"11501080",,"REAC","Falla mayor (Equipo no operativo)","Reductora","ruido en la caja ","3/18/2022 1:03 PM","Loc-278","Base Añelo","No"
"3",,"11970658",,"REAC","Falla mayor (Equipo no operativo)","Reductora","ruido en la caja ","3/18/2022 2:04 PM","Loc-278","Base Añelo","No"
"3",,"12545652",,"REAC","Falla mayor (Equipo no operativo)","Power-End","fisura de power en end ","3/18/2022 10:42 PM","Loc-278","Base Añelo","No"
"3",,"13038520",,"REAC","Falla mayor (Equipo no operativo)","Power-End","fisura de power end","3/18/2022 10:44 PM","Loc-278","Base Añelo","No"
"2",,"12002163",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","ROTURA DE  ASIENTO DE  DESCARGA  EN  PISTON NRO 3","3/18/2022 11:36 PM","SB-61","Base Añelo","No"
"2",,"12002163",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","ROTURA DE  ASIENTO DE  DESCARGA  EN  PISTON NRO 3","3/18/2022 11:36 PM","SB-61","Base Añelo","No"
"2",,"13038538",,"REAC","Falla mayor (Equipo no operativo)","Motor","PERDIDA DE ACEITE EN TURBOCOMPRESOR","3/19/2022 12:15 AM","SB-61","Base Añelo","No"
"3",,"12622242",,"REAC","Falla mayor (Equipo no operativo)","Fluid-End","fisurada piston 3 ","3/19/2022 12:16 PM","Loc-278","Base Añelo","No"
"3",,"12589534",,"REAC","Falla mayor (Equipo no operativo)","Motor","se rompe la caja ","3/19/2022 6:34 PM","Loc-278","Base Añelo","No"
"3",,"11647244",,"REAC","Falla mayor (Equipo no operativo)","Power-End","rotura interna de power end","3/19/2022 9:50 PM","Loc-278","Base Añelo","No"
"2",,"11568617",,"REAC","Falla mayor (Equipo no operativo)","Reductora","BAJA PARA REVISION DE IEM EN REDUCTOR ","3/20/2022 5:35 AM","SB-61","Base Añelo","No"
"2",,"11568617",,"REAC","Falla mayor (Equipo no operativo)","Reductora","BAJA PARA REVISION DE IEM EN REDUCTOR ","3/20/2022 5:35 AM","SB-61","Base Añelo","No"
"3",,"11970682",,"REAC","Falla mayor (Equipo no operativo)","Radiador Vertical","rotura de cardan corto","3/21/2022 8:37 PM","Loc-278","Base Añelo","No"
"3",,"12506573",,"MOV","Prestamo a otra PSL sin falla","N/A","comodoro","3/22/2022 8:05 PM","Loc-278","Base Añelo","No"
