PSL,SubPSL,SAP Profit Center,Plant,Material,Description,SAP Base UOM,Unit Value L31
Production Enhancement,Frac / Acid Summary,6001010016,1608,102983346,"PIN,COILED,HVY DUTY,.25 X 1.5 IN LG",EA,0.63
Production Enhancement,Frac / Acid Summary,6001010016,1608,102991219,"HOSE,CONTL YEL,2.0 IN DIA,63 IN LG,MALE",EA,337.13
Production Enhancement,Other Production Enhancement,6001070700,1608,103006840,"XMTR,MAG FLOWMETER,SLRY,8782,RMT MNT",EA,3302.01
Production Enhancement,Frac / Acid Summary,6001010016,1608,103007175,"TL,PUSH ROD,FLUID END SLV REMOVAL,Q10 AN",EA,320.13
Production Enhancement,Frac / Acid Summary,6001010016,1608,103009472,"ASSY,VLV,SUCT,Q10-X",EA,55.34
Production Enhancement,Other Production Enhancement,6001070700,1608,103014795,"SEAL,OIL,USED ON Q10 GEAR RED. 101844893",EA,24
Production Enhancement,Frac / Acid Summary,6001010016,1608,103023488,"ROD,THDD,1-1/2-6 AC,45 IN LG,SLV INSTL",EA,589.27
Production Enhancement,Frac / Acid Summary,6001010016,1608,103032796,"SEAT,DBL GDED,3 IN 1505 UN THD,15000 PSI",EA,207.67
Production Enhancement,Frac / Acid Summary,6001010016,1608,103032799,"STEM ASSY,DBL GDED,3 IN 15K WP CHK VLV",EA,72
Production Enhancement,Frac / Acid Summary,6001010016,1608,103032804,"GDE,FRONT,VLV,CHK,DBL GDED",EA,26.2
Production Enhancement,Frac / Acid Summary,6001010016,1608,103063949,"GDE,Y,2.50 DIA,SUCT VLV,Q10-X",EA,23.32
Production Enhancement,Frac / Acid Summary,6001010016,1608,103063950,"PIN,GDE,SUCT VLV,REDUCED FRICT,Q10-X",EA,4.99
Production Enhancement,Other Production Enhancement,6001070700,1608,103098443,"HRNS,TRNS,ALL,LKUP VLV BDY,INTRNL,4 PN",EA,3460
Production Enhancement,Other Production Enhancement,6001070700,1608,1047595,"CHEM,MC UREA 33%,1000OW",KG,0.44
Production Enhancement,Other Production Enhancement,6001070700,1608,1054318,"TIRE, 225 70R17 TL, BRIDGESTONE  #D697",EA,435.17
Production Enhancement,Other Production Enhancement,6001070700,1608,1059317,"FILTER, AIR, DIECI #BHC5058",EA,212.2
Production Enhancement,Other Production Enhancement,6001070700,1608,1078237,"COUPLER, 1 1/4 NPT, STUCCHI #F-A25",EA,407.88
