SAP,Equipo,Patente,SET,,,,,,,,
13252813,FRAC TANK,AD742SA,SET 4,,,,,,,,
13252815,FRAC TANK,AD742RY,SET 4,,,,,,,,
13252816,FRAC TANK,AD530XS,SET 4,,,,,,,,
13252817,FRAC TANK,AD530XT,SET 4,,,,,,,,
13252818,FRAC TANK,AD530XF,SET 4,,,,,,,,
13252820,FRAC TANK,AD530XD,SET 4,,,,,,,,
10084168,FRAC TANK,BSK-398 ,,,,,,,,,
11280775,FRAC TANK,HQA-043 ,,,,,,,,,
12366174,FRAC TANK,NQT-800 ,,,,,,,,,
12354523,FRAC TANK,NET-823 ,,,,,,,,,
12170219,FRAC TANK,MIW-752 ,,,,,,,,,
12811995,FRAC TANK,AA022OO ,,,,,,,,,
12811998,FRAC TANK,AA022OV ,,,,,,,,,
12811999,FRAC TANK,AA022OT ,,,,,,,,,
11280774,FRAC TANK,HQA-042 ,,,,,,,,,
11916027,FRAC TANK,KUF-985 ,,,,,,,,,
12366173,FRAC TANK,NHP-654,,,,,,,,,
12178100,FRAC TANK,MQM-781 ,,,,,,,,,
12811996,FRAC TANK,AA022OU ,,,,,,,,,
12811997,FRAC TANK,AA022OW ,,,,,,,,,
13149868,FRAC TANK,AD304SH,,,,,,,,,
13149869,FRAC TANK,AD304SI,,,,,,,,,
13149870,FRAC TANK,AD304SE,,,,,,,,,
13149872,FRAC TANK,AD442XA,,,,,,,,,
13149874,FRAC TANK,AD442XB,,,,,,,,,
13149873,FRAC TANK,AD442XC,,,,,,,,,
13149877,FRAC TANK,AD616NR,,,,,,,,,
13149878,FRAC TANK,AD616NQ,,,,,,,,,
13149875,FRAC TANK,AD442XD,,,,,,,,,
13149876,FRAC TANK,AD616NP,,,,,,,,,
13251506,FRAC TANK,AD668JE,,,,,,,,,
13252807,FRAC TANK,AD668JD,,,,,,,,,
13252814,FRAC TANK,AD742RX,,,,,,,,,
13252819,FRAC TANK,AD530XA,,,,,,,,,
13252808,FRAC TANK,AD668JC,,,,,,,,,
13252809,FRAC TANK,AD668JG,,,,,,,,,
13252810,FRAC TANK,AD668JF,,,,,,,,,
13252811,FRAC TANK,AD742RW,,,,,,,,,
13252812,FRAC TANK,AD742SC,,,,,,,,,
13252813,FRAC TANK,AD742SA,,,,,,,,,
13252815,FRAC TANK,AD742RY,,,,,,,,,
13252816,FRAC TANK,AD530XS,,,,,,,,,
13252817,FRAC TANK,AD530XT,,,,,,,,,
13252818,FRAC TANK,AD530XF,,,,,,,,,
13252820,FRAC TANK,AD530XD,,,,,,,,,
13251495,Generador 110v,,SET 1,,,,,,,,
13251497,Generador 110v,,SET 1,,,,,,,,
13118133,Generador 110v,,SET 1,,,,,,,,
13118131,Generador 110v,,SET 2,,,,,,,,
12725936,Generador 135 KWA (Disy),,SET 4,,,,,,,,
11702039,Generador 20 KWA (Disy),,SET 4,,,,,,,,
12525213,Generador 40 KWA,,SET 4,,,,,,,,
12725938,Generador 40 KWA,,SET 4,,,,,,,,
11720335,HT,LCP502,SET 1,,,,,,,,
11754299,HT,LCP504,SET 1,,,,,,,,
11754304,HT,LCP501,SET P,,,,,,,,
11754314,HT,LEL278,SET 1,,,,,,,,
11754409,HT,LCP503,SET 1,,,,,,,,
11970658,HT,AA230TV,SET 1,,,,,,,,
11970698,HT,AA157KM,SET 1,,,,,,,,
11970892,HT,AA157LJ,SET 1,,,,,,,,
12999791,HT,sin dominio,SET 1,,,,,,,,
12999806,HT,sin dominio,SET 1,,,,,,,,
11970682,HT,AA157LL,SET 2,,,,,,,,
12505305,HT,PAG821,CR,,,,,,,,
12506558,HT,PAG826,SET 2,,,,,,,,
12506561,HT,PAG825,CR,,,,,,,,
12506564,HT,PAG823,SET 2,,,,,,,,
12506570,HT,PAG824,SET HPS,,,,,,,,
12506573,HT,PAG822,CR,,,,,,,,
12622230,HT,AA725CP,CR,,,,,,,,
12622233,HT,AA725CS,CR,,,,,,,,
12622236,HT,AA520CN,CR,,,,,,,,
