SAP,Equipo,Patente,SET,,,,,,,,
13064303,TRAC HYD START 6X4 SLPR,AC689RQ,SET 3,,,,,,,,
12821701,TRACTOR HIDRO GRUA,AA157LG,SET 1,,,,,,,,
12821703,TRACTOR HIDRO GRUA,AA022OQ,SET 2,,,,,,,,
12585214,TRACTOR HIDRO GRUA,OHG258,SET 3,,,,,,,,
12585216,TRACTOR HIDRO GRUA,OHG257,SET 4,,,,,,,,
13388835,WCU,sin dominio,SET 1,,,,,,,,
13331194,WCU,sin dominio,SET 1,,,,,,,,
12468283,Q10-X,,,,,,,,,,
12904154,Q10-X,,,,,,,,,,
12608139,Q10-X,,,,,,,,,,
12643286,Q-10,,,,,,,,,,
12468286,Q10-X,,,,,,,,,,
12531951,Q10-X,,,,,,,,,,
12589516,Q10-X,,,,,,,,,,
11580399,FB4K,,,,,,,,,,
12589528,Q10-X,,,,,,,,,,
12157794,Q10-X,,,,,,,,,,
11410827,Q10-X,,,,,,,,,,
12608142,Q10-X,,,,,,,,,,
12545652,Q10-X,,,,,,,,,,
11243945,FB4K,,,,,,,,,,
12589534,Q10-X,,,,,,,,,,
12468265,Q10-X,,,,,,,,,,
12608136,Q10-X,,,,,,,,,,
12643202,Q10-X,,,,,,,,,,
12546250,Q10-X,,,,,,,,,,
12546259,Q10-X,,,,,,,,,,
,,,,,,,,,,,
